Distrito electoral,Organización Política,Tipo Organización Política,Votos,% Votos,Año
CUSCO,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,524,0.10%,2011
HUANCAVELICA,GANA PERU,PARTIDO POLÍTICO,"84,191",55.46%,2011
HUANCAVELICA,FUERZA 2011,PARTIDO POLÍTICO,"28,305",18.65%,2011
HUANCAVELICA,PERÚ POSIBLE,ALIANZA ELECTORAL,"26,553",17.49%,2011
HUANCAVELICA,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"6,854",4.52%,2011
HUANCAVELICA,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"3,471",2.29%,2011
HUANCAVELICA,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,702,0.46%,2011
HUANCAVELICA,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,435,0.29%,2011
HUANCAVELICA,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,368,0.24%,2011
HUANCAVELICA,FUERZA NACIONAL,PARTIDO POLÍTICO,337,0.22%,2011
HUANCAVELICA,DESPERTAR NACIONAL,PARTIDO POLÍTICO,314,0.21%,2011
HUANCAVELICA,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,274,0.18%,2011
HUANUCO,GANA PERU,PARTIDO POLÍTICO,"123,278",44.09%,2011
HUANUCO,FUERZA 2011,PARTIDO POLÍTICO,"59,652",21.33%,2011
HUANUCO,PERÚ POSIBLE,ALIANZA ELECTORAL,"57,072",20.41%,2011
HUANUCO,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"25,199",9.01%,2011
HUANUCO,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"11,897",4.26%,2011
HUANUCO,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,484,0.17%,2011
HUANUCO,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,467,0.17%,2011
HUANUCO,FUERZA NACIONAL,PARTIDO POLÍTICO,437,0.16%,2011
HUANUCO,DESPERTAR NACIONAL,PARTIDO POLÍTICO,429,0.15%,2011
HUANUCO,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,347,0.12%,2011
HUANUCO,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,343,0.12%,2011
ICA,GANA PERU,PARTIDO POLÍTICO,"130,689",30.99%,2011
ICA,FUERZA 2011,PARTIDO POLÍTICO,"116,872",27.71%,2011
ICA,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"66,107",15.68%,2011
ICA,PERÚ POSIBLE,ALIANZA ELECTORAL,"58,795",13.94%,2011
ICA,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"47,556",11.28%,2011
ICA,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,603,0.14%,2011
ICA,DESPERTAR NACIONAL,PARTIDO POLÍTICO,322,0.08%,2011
ICA,FUERZA NACIONAL,PARTIDO POLÍTICO,279,0.07%,2011
ICA,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,228,0.05%,2011
ICA,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,168,0.04%,2011
ICA,PARTIDO DESCENTRALISTA FUERZA SOCIAL,PARTIDO POLÍTICO,104,0.03%,2011
JUNIN,GANA PERU,PARTIDO POLÍTICO,"213,959",38.28%,2011
JUNIN,FUERZA 2011,PARTIDO POLÍTICO,"149,561",26.76%,2011
JUNIN,ALIANZA POR EL GRAN CAMBIO,ALIANZA ELECTORAL,"90,010",16.10%,2011
JUNIN,PERÚ POSIBLE,ALIANZA ELECTORAL,"69,449",12.42%,2011
JUNIN,ALIANZA SOLIDARIDAD NACIONAL,ALIANZA ELECTORAL,"31,847",5.70%,2011
JUNIN,FONAVISTAS DEL PERU,PARTIDO POLÍTICO,"1,452",0.26%,2011
JUNIN,DESPERTAR NACIONAL,PARTIDO POLÍTICO,839,0.15%,2011
JUNIN,PARTIDO POLITICO ADELANTE,PARTIDO POLÍTICO,661,0.12%,2011
JUNIN,FUERZA NACIONAL,PARTIDO POLÍTICO,473,0.09%,2011
JUNIN,"JUSTICIA, TECNOLOGIA, ECOLOGIA",PARTIDO POLÍTICO,387,0.07%,2011
