Distrito electoral,Organización Política,Tipo Organización Política,Votos,% Votos,Año
RESIDENTES EN EL EXTRANJERO,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,618,0.38%,2021
RESIDENTES EN EL EXTRANJERO,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"1,083",0.67%,2021
RESIDENTES EN EL EXTRANJERO,FUERZA POPULAR,PARTIDO POLÍTICO,"22,866",14.15%,2021
RESIDENTES EN EL EXTRANJERO,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"21,170",13.10%,2021
RESIDENTES EN EL EXTRANJERO,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"2,867",1.77%,2021
RESIDENTES EN EL EXTRANJERO,PARTIDO MORADO,PARTIDO POLÍTICO,"6,432",3.98%,2021
RESIDENTES EN EL EXTRANJERO,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"1,876",1.16%,2021
RESIDENTES EN EL EXTRANJERO,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"10,600",6.56%,2021
RESIDENTES EN EL EXTRANJERO,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"4,440",2.75%,2021
RESIDENTES EN EL EXTRANJERO,PERU PATRIA SEGURA,PARTIDO POLÍTICO,"1,303",0.81%,2021
RESIDENTES EN EL EXTRANJERO,PODEMOS PERU,PARTIDO POLÍTICO,"4,162",2.58%,2021
RESIDENTES EN EL EXTRANJERO,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,742,0.46%,2021
RESIDENTES EN EL EXTRANJERO,RENOVACION POPULAR,PARTIDO POLÍTICO,"34,704",21.48%,2021
RESIDENTES EN EL EXTRANJERO,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"11,559",7.15%,2021
RESIDENTES EN EL EXTRANJERO,UNION POR EL PERU,PARTIDO POLÍTICO,955,0.59%,2021
LORETO,ACCION POPULAR,PARTIDO POLÍTICO,"34,998",11.14%,2021
LORETO,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"36,744",11.70%,2021
LORETO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"18,846",6.00%,2021
LORETO,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,952,0.30%,2021
LORETO,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"1,288",0.41%,2021
LORETO,FUERZA POPULAR,PARTIDO POLÍTICO,"52,344",16.66%,2021
LORETO,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"19,631",6.25%,2021
LORETO,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"11,813",3.76%,2021
LORETO,PARTIDO MORADO,PARTIDO POLÍTICO,"5,558",1.77%,2021
LORETO,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"24,985",7.95%,2021
LORETO,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"15,662",4.99%,2021
LORETO,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"3,575",1.14%,2021
LORETO,PERU PATRIA SEGURA,PARTIDO POLÍTICO,"1,249",0.40%,2021
LORETO,PODEMOS PERU,PARTIDO POLÍTICO,"22,747",7.24%,2021
LORETO,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"1,232",0.39%,2021
LORETO,RENOVACION POPULAR,PARTIDO POLÍTICO,"16,449",5.24%,2021
LORETO,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"44,235",14.08%,2021
LORETO,UNION POR EL PERU,PARTIDO POLÍTICO,"1,800",0.57%,2021
MADRE DE DIOS,ACCION POPULAR,PARTIDO POLÍTICO,"6,601",10.22%,2021
MADRE DE DIOS,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"3,463",5.36%,2021
MADRE DE DIOS,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"3,996",6.19%,2021
MADRE DE DIOS,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,193,0.30%,2021
MADRE DE DIOS,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,235,0.36%,2021
MADRE DE DIOS,FUERZA POPULAR,PARTIDO POLÍTICO,"7,278",11.27%,2021
MADRE DE DIOS,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"4,372",6.77%,2021
MADRE DE DIOS,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,499,0.77%,2021
MADRE DE DIOS,PARTIDO MORADO,PARTIDO POLÍTICO,708,1.10%,2021
MADRE DE DIOS,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,756,1.17%,2021
MADRE DE DIOS,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"23,945",37.08%,2021
MADRE DE DIOS,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,298,0.46%,2021
MADRE DE DIOS,PERU PATRIA SEGURA,PARTIDO POLÍTICO,211,0.33%,2021
MADRE DE DIOS,PODEMOS PERU,PARTIDO POLÍTICO,"1,748",2.71%,2021
MADRE DE DIOS,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,410,0.63%,2021
MADRE DE DIOS,RENOVACION POPULAR,PARTIDO POLÍTICO,"4,041",6.26%,2021
MADRE DE DIOS,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"3,000",4.65%,2021
MADRE DE DIOS,UNION POR EL PERU,PARTIDO POLÍTICO,"2,820",4.37%,2021
MOQUEGUA,ACCION POPULAR,PARTIDO POLÍTICO,"15,412",15.74%,2021
MOQUEGUA,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"2,244",2.29%,2021
MOQUEGUA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"10,183",10.40%,2021
MOQUEGUA,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,287,0.29%,2021
MOQUEGUA,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,416,0.42%,2021
MOQUEGUA,FUERZA POPULAR,PARTIDO POLÍTICO,"4,617",4.71%,2021
MOQUEGUA,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"7,190",7.34%,2021
MOQUEGUA,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"3,024",3.09%,2021
MOQUEGUA,PARTIDO MORADO,PARTIDO POLÍTICO,"1,305",1.33%,2021
MOQUEGUA,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"1,308",1.34%,2021
MOQUEGUA,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"33,665",34.38%,2021
MOQUEGUA,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"1,199",1.22%,2021
MOQUEGUA,PERU PATRIA SEGURA,PARTIDO POLÍTICO,311,0.32%,2021
MOQUEGUA,PODEMOS PERU,PARTIDO POLÍTICO,"4,923",5.03%,2021
MOQUEGUA,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,497,0.51%,2021
MOQUEGUA,RENOVACION POPULAR,PARTIDO POLÍTICO,"6,832",6.98%,2021
MOQUEGUA,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"3,847",3.93%,2021
MOQUEGUA,UNION POR EL PERU,PARTIDO POLÍTICO,666,0.68%,2021
PASCO,ACCION POPULAR,PARTIDO POLÍTICO,"11,871",11.87%,2021
PASCO,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"5,470",5.47%,2021
PASCO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"5,102",5.10%,2021
PASCO,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,251,0.25%,2021
PASCO,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,357,0.36%,2021
PASCO,FUERZA POPULAR,PARTIDO POLÍTICO,"12,607",12.61%,2021
PASCO,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"6,896",6.90%,2021
PASCO,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"1,655",1.66%,2021
PASCO,PARTIDO MORADO,PARTIDO POLÍTICO,"1,531",1.53%,2021
PASCO,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"2,630",2.63%,2021
PASCO,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"34,187",34.19%,2021
PASCO,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,734,0.73%,2021
PASCO,PERU PATRIA SEGURA,PARTIDO POLÍTICO,256,0.26%,2021
PASCO,PODEMOS PERU,PARTIDO POLÍTICO,"2,833",2.83%,2021
PASCO,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,604,0.60%,2021
PASCO,RENOVACION POPULAR,PARTIDO POLÍTICO,"8,009",8.01%,2021
PASCO,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"4,178",4.18%,2021
PASCO,UNION POR EL PERU,PARTIDO POLÍTICO,825,0.83%,2021
PIURA,ACCION POPULAR,PARTIDO POLÍTICO,"51,250",7.31%,2021
PIURA,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"77,291",11.03%,2021
PIURA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"63,866",9.11%,2021
PIURA,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"2,103",0.30%,2021
PIURA,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"3,059",0.44%,2021
PIURA,FUERZA POPULAR,PARTIDO POLÍTICO,"173,933",24.81%,2021
PIURA,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"44,610",6.36%,2021
PIURA,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"20,604",2.94%,2021
PIURA,PARTIDO MORADO,PARTIDO POLÍTICO,"11,654",1.66%,2021
PIURA,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"16,850",2.40%,2021
PIURA,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"71,028",10.13%,2021
PIURA,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"7,060",1.01%,2021
PIURA,PERU PATRIA SEGURA,PARTIDO POLÍTICO,"2,142",0.31%,2021
PIURA,PODEMOS PERU,PARTIDO POLÍTICO,"51,135",7.30%,2021
PIURA,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"3,146",0.45%,2021
PIURA,RENOVACION POPULAR,PARTIDO POLÍTICO,"68,356",9.75%,2021
PIURA,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"29,700",4.24%,2021
PIURA,UNION POR EL PERU,PARTIDO POLÍTICO,"3,158",0.45%,2021
PUNO,ACCION POPULAR,PARTIDO POLÍTICO,"175,712",28.55%,2021
PUNO,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"11,225",1.82%,2021
PUNO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"21,665",3.52%,2021
PUNO,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"1,697",0.28%,2021
PUNO,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"3,426",0.56%,2021
PUNO,FUERZA POPULAR,PARTIDO POLÍTICO,"17,514",2.85%,2021
PUNO,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"35,484",5.76%,2021
PUNO,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"3,088",0.50%,2021
PUNO,PARTIDO MORADO,PARTIDO POLÍTICO,"3,621",0.59%,2021
PUNO,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"7,237",1.18%,2021
PUNO,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"292,218",47.47%,2021
PUNO,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"1,962",0.32%,2021
PUNO,PERU PATRIA SEGURA,PARTIDO POLÍTICO,"1,423",0.23%,2021
PUNO,PODEMOS PERU,PARTIDO POLÍTICO,"6,823",1.11%,2021
PUNO,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"5,656",0.92%,2021
PUNO,RENOVACION POPULAR,PARTIDO POLÍTICO,"15,918",2.59%,2021
PUNO,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"5,667",0.92%,2021
PUNO,UNION POR EL PERU,PARTIDO POLÍTICO,"5,185",0.84%,2021
SAN MARTIN,ACCION POPULAR,PARTIDO POLÍTICO,"31,498",10.05%,2021
SAN MARTIN,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"37,057",11.82%,2021
SAN MARTIN,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"21,825",6.96%,2021
SAN MARTIN,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,791,0.25%,2021
SAN MARTIN,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"1,065",0.34%,2021
SAN MARTIN,FUERZA POPULAR,PARTIDO POLÍTICO,"46,699",14.90%,2021
SAN MARTIN,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"17,122",5.46%,2021
SAN MARTIN,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"5,996",1.91%,2021
SAN MARTIN,PARTIDO MORADO,PARTIDO POLÍTICO,"3,502",1.12%,2021
SAN MARTIN,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"21,595",6.89%,2021
SAN MARTIN,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"67,000",21.37%,2021
SAN MARTIN,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"1,568",0.50%,2021
SAN MARTIN,PERU PATRIA SEGURA,PARTIDO POLÍTICO,756,0.24%,2021
SAN MARTIN,PODEMOS PERU,PARTIDO POLÍTICO,"10,244",3.27%,2021
SAN MARTIN,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"1,650",0.53%,2021
SAN MARTIN,RENOVACION POPULAR,PARTIDO POLÍTICO,"26,561",8.47%,2021
SAN MARTIN,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"15,114",4.82%,2021
SAN MARTIN,UNION POR EL PERU,PARTIDO POLÍTICO,"3,427",1.09%,2021
TACNA,ACCION POPULAR,PARTIDO POLÍTICO,"28,696",14.77%,2021
TACNA,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"4,418",2.27%,2021
TACNA,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"21,000",10.81%,2021
TACNA,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,522,0.27%,2021
TACNA,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"1,020",0.53%,2021
TACNA,FUERZA POPULAR,PARTIDO POLÍTICO,"9,363",4.82%,2021
TACNA,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"14,068",7.24%,2021
TACNA,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"2,307",1.19%,2021
TACNA,PARTIDO MORADO,PARTIDO POLÍTICO,"3,197",1.65%,2021
TACNA,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"4,410",2.27%,2021
TACNA,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"64,521",33.21%,2021
TACNA,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"2,806",1.44%,2021
TACNA,PERU PATRIA SEGURA,PARTIDO POLÍTICO,651,0.34%,2021
TACNA,PODEMOS PERU,PARTIDO POLÍTICO,"8,889",4.58%,2021
TACNA,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,990,0.51%,2021
TACNA,RENOVACION POPULAR,PARTIDO POLÍTICO,"17,842",9.18%,2021
TACNA,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"8,061",4.15%,2021
TACNA,UNION POR EL PERU,PARTIDO POLÍTICO,"1,508",0.78%,2021
TUMBES,ACCION POPULAR,PARTIDO POLÍTICO,"7,046",7.17%,2021
TUMBES,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"10,680",10.87%,2021
TUMBES,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"7,123",7.25%,2021
TUMBES,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,458,0.47%,2021
TUMBES,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,554,0.56%,2021
TUMBES,FUERZA POPULAR,PARTIDO POLÍTICO,"36,403",37.05%,2021
TUMBES,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"5,242",5.34%,2021
TUMBES,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"1,438",1.46%,2021
TUMBES,PARTIDO MORADO,PARTIDO POLÍTICO,"1,249",1.27%,2021
TUMBES,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"1,027",1.05%,2021
TUMBES,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"7,613",7.75%,2021
TUMBES,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,696,0.71%,2021
TUMBES,PERU PATRIA SEGURA,PARTIDO POLÍTICO,214,0.22%,2021
TUMBES,PODEMOS PERU,PARTIDO POLÍTICO,"5,201",5.29%,2021
TUMBES,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,274,0.28%,2021
TUMBES,RENOVACION POPULAR,PARTIDO POLÍTICO,"8,799",8.96%,2021
TUMBES,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"3,829",3.90%,2021
TUMBES,UNION POR EL PERU,PARTIDO POLÍTICO,395,0.40%,2021
CALLAO,ACCION POPULAR,PARTIDO POLÍTICO,"34,965",6.66%,2021
CALLAO,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"25,917",4.93%,2021
CALLAO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"78,920",15.02%,2021
CALLAO,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"2,212",0.42%,2021
CALLAO,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,"1,735",0.33%,2021
CALLAO,FUERZA POPULAR,PARTIDO POLÍTICO,"79,699",15.17%,2021
CALLAO,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"38,233",7.28%,2021
CALLAO,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"9,446",1.80%,2021
CALLAO,PARTIDO MORADO,PARTIDO POLÍTICO,"16,094",3.06%,2021
CALLAO,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"4,475",0.85%,2021
CALLAO,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"33,750",6.43%,2021
CALLAO,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"21,947",4.18%,2021
CALLAO,PERU PATRIA SEGURA,PARTIDO POLÍTICO,"2,781",0.53%,2021
CALLAO,PODEMOS PERU,PARTIDO POLÍTICO,"48,241",9.18%,2021
CALLAO,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,"2,046",0.39%,2021
CALLAO,RENOVACION POPULAR,PARTIDO POLÍTICO,"78,066",14.86%,2021
CALLAO,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"44,171",8.41%,2021
CALLAO,UNION POR EL PERU,PARTIDO POLÍTICO,"2,569",0.49%,2021
UCAYALI,ACCION POPULAR,PARTIDO POLÍTICO,"14,359",7.62%,2021
UCAYALI,ALIANZA PARA EL PROGRESO,PARTIDO POLÍTICO,"18,589",9.87%,2021
UCAYALI,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARTIDO POLÍTICO,"11,124",5.91%,2021
UCAYALI,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,765,0.41%,2021
UCAYALI,EL FRENTE AMPLIO POR JUSTICIA. VIDA Y LIBERTAD,PARTIDO POLÍTICO,820,0.44%,2021
UCAYALI,FUERZA POPULAR,PARTIDO POLÍTICO,"40,510",21.51%,2021
UCAYALI,JUNTOS POR EL PERU,PARTIDO POLÍTICO,"15,092",8.01%,2021
UCAYALI,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POLÍTICO,"3,650",1.94%,2021
UCAYALI,PARTIDO MORADO,PARTIDO POLÍTICO,"2,268",1.20%,2021
UCAYALI,PARTIDO NACIONALISTA PERUANO,PARTIDO POLÍTICO,"3,199",1.70%,2021
UCAYALI,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POLÍTICO,"26,339",13.98%,2021
UCAYALI,PARTIDO POPULAR CRISTIANO - PPC,PARTIDO POLÍTICO,"2,207",1.17%,2021
UCAYALI,PERU PATRIA SEGURA,PARTIDO POLÍTICO,630,0.33%,2021
UCAYALI,PODEMOS PERU,PARTIDO POLÍTICO,"18,380",9.76%,2021
UCAYALI,RENACIMIENTO UNIDO NACIONAL,PARTIDO POLÍTICO,891,0.47%,2021
UCAYALI,RENOVACION POPULAR,PARTIDO POLÍTICO,"14,981",7.95%,2021
UCAYALI,RESTAURACION NACIONAL,PARTIDO POLÍTICO,"12,004",6.37%,2021
UCAYALI,UNION POR EL PERU,PARTIDO POLÍTICO,"2,562",1.36%,2021
AMAZONAS,FUERZA POPULAR,PARTIDO POLÍTICO,"62,083",42.90%,2016
AMAZONAS,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"17,026",11.77%,2016
AMAZONAS,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"31,681",21.89%,2016
AMAZONAS,ACCION POPULAR,PARTIDO POLÍTICO,"8,166",5.64%,2016
AMAZONAS,ALIANZA POPULAR,ALIANZA ELECTORAL,"5,175",3.58%,2016
AMAZONAS,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"13,590",9.39%,2016
AMAZONAS,FRENTE ESPERANZA,PARTIDO POLÍTICO,"1,043",0.72%,2016
AMAZONAS,PERU POSIBLE,PARTIDO POLÍTICO,"1,635",1.13%,2016
AMAZONAS,PROGRESANDO PERU,PARTIDO POLÍTICO,"2,584",1.79%,2016
AMAZONAS,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,177,0.12%,2016
AMAZONAS,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,670,0.46%,2016
AMAZONAS,PERU LIBERTARIO,PARTIDO POLÍTICO,526,0.36%,2016
AMAZONAS,PERU NACION,PARTIDO POLÍTICO,182,0.13%,2016
AMAZONAS,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,175,0.12%,2016
ANCASH,FUERZA POPULAR,PARTIDO POLÍTICO,"216,261",42.27%,2016
ANCASH,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"80,069",15.65%,2016
ANCASH,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"109,837",21.47%,2016
ANCASH,ACCION POPULAR,PARTIDO POLÍTICO,"27,605",5.40%,2016
ANCASH,ALIANZA POPULAR,ALIANZA ELECTORAL,"30,859",6.03%,2016
ANCASH,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"3,569",0.70%,2016
ANCASH,FRENTE ESPERANZA,PARTIDO POLÍTICO,"6,821",1.33%,2016
ANCASH,PERU POSIBLE,PARTIDO POLÍTICO,"29,000",5.67%,2016
ANCASH,PROGRESANDO PERU,PARTIDO POLÍTICO,"2,194",0.43%,2016
ANCASH,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,"1,245",0.24%,2016
ANCASH,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,"2,061",0.40%,2016
ANCASH,PERU LIBERTARIO,PARTIDO POLÍTICO,888,0.17%,2016
ANCASH,PERU NACION,PARTIDO POLÍTICO,632,0.12%,2016
ANCASH,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,618,0.12%,2016
APURIMAC,FUERZA POPULAR,PARTIDO POLÍTICO,"50,822",30.76%,2016
APURIMAC,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"9,214",5.58%,2016
APURIMAC,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"82,443",49.90%,2016
APURIMAC,ACCION POPULAR,PARTIDO POLÍTICO,"8,329",5.04%,2016
APURIMAC,ALIANZA POPULAR,ALIANZA ELECTORAL,"3,810",2.31%,2016
APURIMAC,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"6,818",4.13%,2016
APURIMAC,FRENTE ESPERANZA,PARTIDO POLÍTICO,"1,094",0.66%,2016
APURIMAC,PERU POSIBLE,PARTIDO POLÍTICO,"1,063",0.64%,2016
APURIMAC,PROGRESANDO PERU,PARTIDO POLÍTICO,315,0.19%,2016
APURIMAC,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,142,0.09%,2016
APURIMAC,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,529,0.32%,2016
APURIMAC,PERU LIBERTARIO,PARTIDO POLÍTICO,329,0.20%,2016
APURIMAC,PERU NACION,PARTIDO POLÍTICO,143,0.09%,2016
APURIMAC,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,161,0.10%,2016
AREQUIPA,FUERZA POPULAR,PARTIDO POLÍTICO,"184,918",23.88%,2016
AREQUIPA,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"210,224",27.15%,2016
AREQUIPA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARTIDO POLÍTICO,"197,452",25.50%,2016
AREQUIPA,ACCION POPULAR,PARTIDO POLÍTICO,"86,428",11.16%,2016
AREQUIPA,ALIANZA POPULAR,ALIANZA ELECTORAL,"26,603",3.44%,2016
AREQUIPA,DEMOCRACIA DIRECTA,PARTIDO POLÍTICO,"29,287",3.78%,2016
AREQUIPA,FRENTE ESPERANZA,PARTIDO POLÍTICO,"18,604",2.40%,2016
AREQUIPA,PERU POSIBLE,PARTIDO POLÍTICO,"6,730",0.87%,2016
AREQUIPA,PROGRESANDO PERU,PARTIDO POLÍTICO,"6,171",0.80%,2016
AREQUIPA,PARTIDO POLITICO ORDEN,PARTIDO POLÍTICO,"2,771",0.36%,2016
AREQUIPA,ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,ALIANZA ELECTORAL,"2,401",0.31%,2016
AREQUIPA,PERU LIBERTARIO,PARTIDO POLÍTICO,"1,274",0.17%,2016
AREQUIPA,PERU NACION,PARTIDO POLÍTICO,804,0.10%,2016
AREQUIPA,PARTIDO HUMANISTA PERUANO,PARTIDO POLÍTICO,760,0.10%,2016
AYACUCHO,FUERZA POPULAR,PARTIDO POLÍTICO,"82,138",32.14%,2016
AYACUCHO,PERUANOS POR EL KAMBIO,PARTIDO POLÍTICO,"15,741",6.16%,2016
